着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,馬主,賞金(万円),label,race_id
10,8,11,ドーファン,牡2,54.0,柴山雄一,2:07.5,アタマ,10-11-11-10,34.9,11.0,5.0,506(0),[東]中川公成,シルクレーシング,,0,201706040705
11,5,5,シックスマイル,牝2,54.0,吉田豊,2:07.6,1/2,7-7-11-10,35.0,112.4,12.0,456(0),[東]尾形充弘,古川嘉治,,0,201706040705
12,2,2,ジャストアキッス,牝2,51.0,武藤雅,2:07.6,アタマ,2-3-9-10,35.3,53.0,9.0,494(0),[東]武藤善則,ターフ・スポート,,0,201706040705
1,4,4,サンリヴァル,牡2,54.0,田辺裕信,2:03.6,,2-2-2-2,34.1,4.6,3.0,482(0),[西]藤岡健一,幅田京子,"1,617.5",1,201706040709
2,6,6,ファストアプローチ,牡2,55.0,蛯名正義,2:03.8,1.1/4,3-3-2-2,34.2,2.9,2.0,536(-2),[東]藤沢和雄,山本英俊,645.0,1,201706040709
3,2,2,スターフィールド,牡2,54.0,大野拓弥,2:04.0,1.1/4,4-4-4-4,34.2,8.6,4.0,478(+8),[東]手塚貴久,星野壽市,402.5,1,201706040709
4,8,8,トゥザフロンティア,牡2,54.0,戸崎圭太,2:04.0,アタマ,4-4-4-5,34.1,2.2,1.0,488(+6),[西]池江泰寿,キャロットファーム,240.0,0,201706040709
5,3,3,コスモイグナーツ,牡2,54.0,柴田大知,2:04.1,1/2,1-1-1-1,34.8,36.4,6.0,458(+2),[東]高橋祥泰,ビッグレッドファーム,160.0,0,201706040709
6,5,5,ノーブルバルカン,牡2,54.0,武藤雅,2:04.2,3/4,6-6-6-5,34.2,19.7,5.0,442(-2),[東]武藤善則,吉木伸彦,,0,201706040709
7,1,1,トーセンブル,牡2,54.0,本田正重,2:05.0,5,8-8-7-7,34.9,93.6,7.0,414(-13),[地]山中尊徳,島川隆哉,,0,201706040709
8,7,7,ソッフィダモーレ,牝2,54.0,杉原誠人,2:06.3,8,6-7-8-8,36.1,276.3,8.0,450(0),[東]伊藤伸一,ミルファーム,,0,201706040709
1,3,6,ルージュバック,牝5,55.0,北村宏司,2:13.8,,4-4-4-3,33.9,7.8,5.0,456(+4),[東]大竹正博,キャロットファーム,"6,819.0",1,201706040711
2,4,8,ステファノス,牡6,56.0,戸崎圭太,2:13.9,1/2,4-6-5-3,33.9,3.8,1.0,482(-2),[西]藤原英昭,キャロットファーム,"2,734.0",1,201706040711
3,5,9,タンタアレグリア,牡5,57.0,蛯名正義,2:13.9,クビ,7-7-8-5,33.6,5.4,3.0,480(-8),[東]国枝栄,Ｇ１レーシング,"1,717.0",1,201706040711
4,5,10,マイネルミラノ,牡7,56.0,柴田大知,2:14.0,クビ,1-1-1-1,35.0,40.4,10.0,494(+14),[東]相沢郁,サラブレッドクラブ・ラフィアン,"1,000.0",0,201706040711
5,2,3,ショウナンバッハ,牡6,56.0,柴田善臣,2:14.0,アタマ,12-11-10-8,33.5,87.9,13.0,448(0),[東]上原博之,国本哲秀,670.0,0,201706040711
6,4,7,ディサイファ,牡8,56.0,柴山雄一,2:14.1,1/2,2-2-2-2,34.6,135.2,14.0,504(+4),[東]小島太,Ｈ．Ｈ．シェイク・モハメド,,0,201706040711
7,1,2,アルバート,牡6,57.0,石橋脩,2:14.3,1.1/4,10-11-10-8,33.7,6.4,4.0,482(+2),[東]堀宣行,林正道,,0,201706040711
8,6,12,デニムアンドルビー,牝7,54.0,吉田隼人,2:14.3,ハナ,15-14-13-11,33.5,20.8,8.0,456(-8),[西]角居勝彦,金子真人ホールディングス,,0,201706040711
9,7,14,モンドインテロ,牡5,56.0,田辺裕信,2:14.6,2,16-16-15-15,33.5,5.3,2.0,482(-10),[東]手塚貴久,シルクレーシング,,0,201706040711
10,2,4,ブラックバゴ,牡5,56.0,内田博幸,2:14.8,1.1/2,17-17-17-16,33.4,13.5,7.0,520(+4),[東]斎藤誠,シルクレーシング,,0,201706040711
11,1,1,パリカラノテガミ,牡6,56.0,田中勝春,2:14.9,3/4,9-7-7-7,34.7,199.0,15.0,454(-4),[東]清水英克,嶋田賢,,0,201706040711
12,8,16,ツクバアズマオー,牡6,56.0,吉田豊,2:14.9,ハナ,12-13-13-13,34.2,30.8,9.0,480(0),[東]尾形充弘,荻原昭二,,0,201706040711
13,8,15,カフジプリンス,牡4,56.0,丸田恭介,2:15.1,1.1/4,7-7-8-13,34.8,11.2,6.0,514(-10),[西]矢作芳人,加藤守,,0,201706040711
14,6,11,マイネルサージュ,牡5,56.0,松岡正海,2:15.3,1.1/4,10-10-10-10,34.8,51.2,12.0,500(-2),[東]鹿戸雄一,サラブレッドクラブ・ラフィアン,,0,201706040711
15,3,5,グランアルマダ,牡5,56.0,津村明秀,2:15.6,2,14-14-15-17,34.6,47.3,11.0,526(0),[西]西園正都,サンデーレーシング,,0,201706040711
16,8,17,トルークマクト,牡7,56.0,大野拓弥,2:16.3,4,4-4-5-11,36.3,486.7,17.0,454(-10),[東]尾関知人,ミルファーム,,0,201706040711
17,7,13,マイネルディーン,牡8,56.0,三浦皇成,2:16.4,1/2,3-3-3-5,36.6,325.0,16.0,460(-6),[東]鹿戸雄一,サラブレッドクラブ・ラフィアン,,0,201706040711
1,6,6,マイネルヴンシュ,牡3,54.0,柴田大知,2:34.1,,5-5-5-3,35.3,4.8,3.0,452(+6),[東]水野貴広,サラブレッドクラブ・ラフィアン,"1,519.6",1,201706040609
2,4,4,ウインヴォラーレ,牡4,57.0,松岡正海,2:34.1,クビ,2-2-2-1,35.5,2.2,1.0,480(+6),[東]手塚貴久,ウイン,605.6,1,201706040609
3,2,2,チャロネグロ,牡3,54.0,田辺裕信,2:34.2,クビ,7-7-6-6,35.2,2.9,2.0,494(+6),[東]大和田成,金子真人ホールディングス,382.8,1,201706040609
4,1,1,タケルラムセス,牡5,57.0,内田博幸,2:34.5,2,7-7-6-6,35.4,24.7,6.0,476(-4),[東]田村康仁,森保彦,230.0,0,201706040609
5,8,8,スズカヴァンガード,セ6,57.0,西田雄一,2:34.6,1/2,6-6-6-8,35.6,28.0,7.0,488(+4),[東]小島茂之,永井啓弍,150.0,0,201706040609
6,5,5,エアピザレー,牡6,57.0,北村宏司,2:34.6,ハナ,3-3-3-3,35.9,15.6,5.0,480(-4),[東]高柳瑞樹,ラッキーフィールド,,0,201706040609
7,7,7,フジマサエンペラー,セ8,57.0,柴田善臣,2:35.0,2.1/2,3-3-3-3,36.3,10.5,4.0,496(0),[東]菊川正達,藤原正一,,0,201706040609
8,3,3,ハヤブサライデン,牡5,57.0,江田照男,2:35.4,2.1/2,1-1-1-2,37.0,37.3,8.0,488(+2),[東]菊川正達,吉田牧場,,0,201706040609
1,3,6,スマートエレメンツ,牡3,54.0,三浦皇成,2:01.9,,1-1-2-2,35.0,9.8,5.0,496(+6),[東]鹿戸雄一,大川徹,750.0,1,201706040612
2,2,4,キャリアベスト,牡3,54.0,田辺裕信,2:02.0,1/2,13-12-12-9,34.1,14.2,7.0,496(0),[東]小西一男,明栄商事,300.0,1,201706040612
3,4,7,クラークキー,牡3,54.0,戸崎圭太,2:02.3,2,6-5-5-5,34.9,3.1,1.0,486(+2),[東]池上昌弘,保坂和孝,190.0,1,201706040612
4,8,15,ウォーブル,牝3,52.0,柴田大知,2:02.3,ハナ,13-13-1-1,35.7,17.0,10.0,466(0),[東]伊藤大士,ビッグレッドファーム,110.0,0,201706040612
5,1,1,ハートオブスワロー,牝3,49.0,武藤雅,2:02.5,1.1/4,7-7-8-10,34.9,8.9,4.0,426(0),[東]粕谷昌央,ターフ・スポート,75.0,0,201706040612
6,2,3,サトノルーラー,牡3,54.0,横山典弘,2:02.5,クビ,2-2-4-5,35.3,5.2,2.0,500(-6),[東]国枝栄,里見治,,0,201706040612
7,6,12,プレシャスブルー,牡3,54.0,石橋脩,2:02.7,1.1/4,5-5-5-3,35.4,7.9,3.0,422(-2),[東]相沢郁,石瀬浩三,,0,201706040612
8,6,11,ロイヤルシーロード,牝3,49.0,野中悠太,2:02.7,ハナ,9-10-13-13,34.6,124.6,12.0,472(+10),[東]尾形和幸,吉田晴哉,,0,201706040612
9,7,13,ジュンヴァリアス,牡3,54.0,北村宏司,2:02.7,クビ,7-8-8-7,35.1,10.1,6.0,446(+4),[東]畠山吉宏,河合純二,,0,201706040612
10,5,9,ジュニエーブル,牡3,54.0,吉田豊,2:02.8,クビ,15-15-13-13,34.6,15.2,8.0,442(-4),[東]竹内正洋,柴田洋一,,0,201706040612
11,8,16,マイネルパンドーロ,牡3,54.0,内田博幸,2:03.2,2.1/2,10-10-8-7,35.6,41.0,11.0,478(-4),[東]田中清隆,サラブレッドクラブ・ラフィアン,,0,201706040612
12,7,14,フェアリーフォート,牝3,52.0,津村明秀,2:03.2,ハナ,10-8-8-10,35.6,234.1,13.0,430(+4),[東]栗田徹,サンデーレーシング,,0,201706040612
13,4,8,フラワーシップ,牝3,52.0,丸田恭介,2:03.4,1.1/4,12-13-15-15,35.0,239.0,14.0,416(0),[東]石栗龍彦,小林英一ホールディングス,,0,201706040612
14,3,5,ラリュール,牝3,49.0,菊沢一樹,2:03.8,2.1/2,4-4-5-10,36.4,292.9,16.0,430(-6),[東]池上昌和,下河辺牧場,,0,201706040612
15,8,17,バルビエール,牡5,57.0,蛯名正義,2:03.8,クビ,2-2-3-3,36.8,16.9,9.0,518(+16),[東]武井亮,吉田和美,,0,201706040612
16,1,2,リュイザン,牡3,51.0,横山武史,2:04.0,1,17-16-17-16,35.3,274.6,15.0,410(+6),[東]二ノ宮敬,Ｇ１レーシング,,0,201706040612
17,5,10,ホウザンキングダム,牡3,54.0,勝浦正樹,2:04.7,4,15-16-15-16,36.3,386.8,17.0,506(-6),[東]南田美知,加藤豊三,,0,201706040612
1,5,5,プロトスター,牡2,54.0,ルメール,2:03.5,,7-7-7-7,35.4,2.7,1.0,470(-10),[東]戸田博文,社台レースホース,500.0,1,201706040503
2,3,3,グランサム,牡2,54.0,吉田隼人,2:03.6,3/4,3-2-2-2,36.1,12.5,6.0,456(-2),[東]古賀慎明,キャロットファーム,200.0,1,201706040503
3,4,4,インプレスシチー,牡2,54.0,柴山雄一,2:03.7,3/4,10-10-10-9,35.4,5.7,3.0,452(-2),[東]上原博之,友駿ホースクラブ,130.0,1,201706040503
4,6,6,マイネルソラニテ,牡2,51.0,武藤雅,2:04.1,2.1/2,8-7-7-7,36.0,48.1,9.0,510(+2),[東]水野貴広,サラブレッドクラブ・ラフィアン,75.0,0,201706040503
5,7,9,ウインイノベーター,牡2,54.0,戸崎圭太,2:04.2,1/2,1-1-1-1,36.7,5.9,4.0,446(-2),[西]西園正都,ウイン,50.0,0,201706040503
6,6,7,ハヤブサカノン,牝2,54.0,御神本訓,2:04.2,クビ,11-11-11-9,35.5,68.7,10.0,452(+26),[東]尾形和幸,武田修,,0,201706040503
7,1,1,アイリスロード,牝2,53.0,木幡巧也,2:04.4,1,5-4-4-3,36.7,7.8,5.0,438(-4),[東]和田雄二,荻伏服部牧場,,0,201706040503
7,2,2,エスポワールカフェ,牡2,51.0,菊沢一樹,2:04.4,同着,5-5-4-3,36.6,43.5,8.0,456(+2),[東]小島太,西川光一,,0,201706040503
9,8,10,パワースピネル,牝2,51.0,野中悠太,2:04.4,クビ,3-5-6-3,36.5,38.9,7.0,426(-8),[東]萱野浩二,田頭勇貴,,0,201706040503
10,8,11,ウェルズレジェンド,牡2,51.0,横山武史,2:05.1,4,8-9-7-9,36.9,314.2,11.0,476(-4),[東]大江原哲,菊地祐司,,0,201706040503
11,7,8,マイネルシクザール,牡2,54.0,宮崎北斗,2:07.5,大,2-2-2-6,39.9,5.4,2.0,542(+4),[東]高橋裕,サラブレッドクラブ・ラフィアン,,0,201706040503
1,3,5,ミッキースワロー,牡3,56.0,横山典弘,2:12.7,,8-6-6-6,33.4,6.1,2.0,482(-2),[東]菊沢隆徳,野田みづき,"5,510.6",1,201706040511
2,4,7,アルアイン,牡3,56.0,ルメール,2:13.0,1.3/4,5-5-5-4,33.8,1.7,1.0,526(+10),[西]池江泰寿,サンデーレーシング,"2,231.6",1,201706040511
3,2,2,サトノクロニクル,牡3,56.0,Ｍ．デム,2:13.2,1.1/4,3-4-3-4,34.2,6.6,3.0,462(+12),[西]池江泰寿,里見治,"1,415.8",1,201706040511
4,8,15,スティッフェリオ,牡3,56.0,北村友一,2:13.3,3/4,2-2-2-2,34.5,23.6,6.0,438(-4),[西]音無秀孝,社台レースホース,810.0,0,201706040511
5,5,9,プラチナヴォイス,牡3,56.0,内田博幸,2:13.5,1.1/4,6-8-8-7,34.1,26.0,8.0,510(+2),[西]鮫島一歩,本間茂,540.0,0,201706040511
6,6,10,サンデームーティエ,牡3,56.0,吉田豊,2:13.7,1.1/4,1-1-1-1,35.0,24.6,7.0,444(+10),[東]谷原義明,戸部政彦,,0,201706040511
7,4,6,サーレンブラント,牡3,56.0,岩田康誠,2:13.7,ハナ,8-9-9-9,34.1,17.5,5.0,450(0),[東]戸田博文,窪田芳郎,,0,201706040511
8,8,14,クレッシェンドラヴ,牡3,56.0,戸崎圭太,2:13.7,クビ,10-10-10-11,34.0,39.3,10.0,492(+4),[東]二ノ宮敬,広尾レース,,0,201706040511
9,3,4,クリンチャー,牡3,56.0,藤岡佑介,2:13.8,クビ,3-3-3-2,34.8,10.7,4.0,490(+18),[西]宮本博,前田幸治,,0,201706040511
10,7,13,ストロングレヴィル,牡3,56.0,石橋脩,2:13.9,3/4,10-10-10-9,34.2,111.2,13.0,474(-2),[東]堀宣行,村木篤,,0,201706040511
11,1,1,サンシロウ,牡3,56.0,柴田善臣,2:14.0,クビ,6-6-6-8,34.7,36.6,9.0,486(-4),[東]柄崎孝,三度屋,,0,201706040511
12,7,12,ローリングタワー,牡3,56.0,三浦皇成,2:14.4,2.1/2,13-12-12-11,34.4,80.0,12.0,432(-6),[東]伊藤伸一,本間茂,,0,201706040511
13,6,11,インペリアルフィズ,牡3,56.0,田辺裕信,2:14.4,アタマ,15-15-14-13,34.2,45.2,11.0,458(+2),[東]小島太,社台レースホース,,0,201706040511
14,5,8,ブラックギムレット,牡3,56.0,大野拓弥,2:15.1,4,14-14-14-13,34.9,337.1,15.0,448(-2),[東]柴田政人,黒澤尚,,0,201706040511
15,2,3,ブラックロード,牡3,56.0,御神本訓,2:15.4,2,12-12-13-15,35.3,264.6,14.0,498(-2),[地]矢野義幸,欠畑圭一,,0,201706040511
1,1,1,バラダガール,牝3,52.0,戸崎圭太,2:37.0,,11-12-7-5,36.9,5.5,4.0,548(+12),[東]国枝栄,シルクレーシング,750.0,1,201706040407
2,5,7,アルカサル,セ4,57.0,蛯名正義,2:37.0,ハナ,8-8-2-2,37.2,4.7,2.0,520(-2),[東]大竹正博,サンデーレーシング,300.0,1,201706040407
3,7,11,エール,セ3,54.0,北村宏司,2:37.3,1.3/4,6-6-2-2,37.5,18.0,7.0,430(+8),[西]矢作芳人,ノースヒルズ,190.0,1,201706040407
4,4,5,グリントオブライト,牝4,55.0,三浦皇成,2:37.3,クビ,10-10-8-8,36.9,6.6,5.0,452(+18),[東]戸田博文,サンデーレーシング,110.0,0,201706040407
5,4,6,ラベルヴィー,牡3,54.0,杉原誠人,2:37.4,3/4,6-6-8-8,37.1,49.7,10.0,486(-16),[東]国枝栄,キャロットファーム,75.0,0,201706040407
6,8,13,マリネリス,牝4,52.0,菊沢一樹,2:37.6,1,5-4-5-5,37.6,96.8,12.0,422(+8),[東]小桧山悟,今中俊平,,0,201706040407
7,6,9,サムワンライクユー,牡4,57.0,柴田大知,2:37.8,1.1/2,9-9-12-12,37.2,15.8,6.0,464(+4),[東]小島茂之,丸山担,,0,201706040407
8,3,3,コンボルド,牡3,54.0,吉田豊,2:37.9,1/2,2-2-1-1,38.2,3.6,1.0,444(0),[東]中川公成,金山敏也,,0,201706040407
9,8,14,ピジョンレッド,牝3,49.0,藤田菜七,2:38.2,2,4-4-10-11,37.7,53.8,11.0,400(+4),[東]田村康仁,ディアレストクラブ,,0,201706040407
10,3,4,ノーブルソニック,牝5,55.0,石橋脩,2:38.2,ハナ,11-11-10-8,37.7,37.6,9.0,474(-4),[西]斉藤崇史,シルクレーシング,,0,201706040407
11,2,2,アスコットチャンプ,セ4,57.0,大野拓弥,2:39.4,7,1-1-5-5,39.4,19.4,8.0,468(+6),[東]新開幸一,星野隆男,,0,201706040407
12,6,10,ミッキーロイヤル,牡3,54.0,中谷雄太,2:39.5,1/2,3-3-2-4,39.7,5.4,3.0,494(0),[西]矢作芳人,野田みづき,,0,201706040407
13,7,12,フランチェスコ,牡4,57.0,武士沢友,2:40.3,5,13-13-13-13,39.0,259.6,14.0,464(0),[東]高橋義博,海谷幸司,,0,201706040407
14,5,8,ドゥエルインハート,牡3,54.0,丹内祐次,2:41.6,8,14-14-14-14,39.5,244.6,13.0,478(-4),[東]加藤征弘,飯田正剛,,0,201706040407
1,2,3,ミッキークロス,牝3,52.0,内田博幸,2:03.6,,1-1-1-1,36.7,15.9,6.0,406(-10),[東]国枝栄,野田みづき,"1,090.6",1,201706040409
2,4,8,レッドジェノヴァ,牝3,52.0,戸崎圭太,2:03.6,ハナ,4-4-5-6,36.3,3.6,1.0,494(+2),[東]小島茂之,東京ホースレーシング,431.6,1,201706040409
3,6,12,ヨシノザクラ,牝4,55.0,三浦皇成,2:03.6,ハナ,12-12-13-6,35.7,3.8,2.0,458(-2),[東]萩原清,前田晋二,265.8,1,201706040409
4,5,9,ジャポニカーラ,牝5,55.0,石橋脩,2:03.7,1/2,15-16-16-15,35.3,9.1,4.0,408(-8),[東]勢司和浩,シルクレーシング,160.0,0,201706040409
5,3,6,レーヌジャルダン,牝3,52.0,大野拓弥,2:03.7,クビ,2-2-3-3,36.6,29.9,10.0,442(-6),[東]高柳瑞樹,グリーンファーム,105.0,0,201706040409
6,8,15,バレエダンサー,牝4,55.0,黛弘人,2:03.8,クビ,10-10-8-6,36.2,103.2,13.0,456(+4),[東]尾関知人,前迫義幸,,0,201706040409
7,1,2,アンネリース,牝3,52.0,柴田大知,2:03.8,ハナ,7-7-8-9,36.3,10.9,5.0,472(0),[東]尾関知人,サラブレッドクラブ・ラフィアン,,0,201706040409
8,3,5,ウインシトリン,牝3,52.0,丸山元気,2:03.8,アタマ,17-17-16-15,35.3,152.5,14.0,446(+6),[東]鹿戸雄一,ウイン,,0,201706040409
9,5,10,ネオヴィットーリア,牝3,52.0,吉田豊,2:03.8,クビ,9-9-10-11,36.1,30.0,11.0,466(+8),[東]古賀史生,小林仁幸,,0,201706040409
10,2,4,イタリアンホワイト,牝3,52.0,津村明秀,2:03.9,クビ,4-4-6-9,36.5,4.9,3.0,502(0),[東]相沢郁,サンデーレーシング,,0,201706040409
11,6,11,ルフォール,牝4,55.0,丸田恭介,2:03.9,クビ,15-15-10-13,36.2,20.3,7.0,478(-6),[東]堀宣行,サンデーレーシング,,0,201706040409
12,7,13,エバープリンセス,牝3,52.0,柴田善臣,2:04.0,3/4,13-13-14-13,35.9,22.1,8.0,448(+14),[東]久保田貴,宇田豊,,0,201706040409
13,7,14,ラスイエットロス,牝4,55.0,丹内祐次,2:04.1,クビ,4-4-3-2,36.9,46.8,12.0,430(+4),[東]水野貴広,サラブレッドクラブ・ラフィアン,,0,201706040409
14,4,7,エクストラファイン,牝5,55.0,中谷雄太,2:04.4,2,10-10-12-11,36.6,25.6,9.0,460(-2),[東]矢野英一,グリーンファーム,,0,201706040409
15,8,16,アマノガワ,牝3,52.0,木幡巧也,2:04.5,1/2,7-7-6-3,37.1,169.1,16.0,434(+6),[東]菊川正達,三嶋牧場,,0,201706040409
16,8,17,ハーツブライト,牝3,52.0,勝浦正樹,2:04.8,1.3/4,2-2-2-3,37.8,163.6,15.0,480(-18),[東]尾形充弘,伊東純一,,0,201706040409
17,1,1,アドラビリティ,牝5,55.0,松岡正海,2:06.2,8,13-13-14-15,38.1,271.5,17.0,502(0),[東]堀井雅広,藤田在子,,0,201706040409
1,4,8,クインズゴールド,牝3,54.0,津村明秀,2:03.0,,4-4-4-4,34.6,17.4,9.0,428(+4),[東]尾形充弘,亀田和弘,500.0,1,201706040307
2,3,5,スパイラルダイブ,牡3,56.0,三浦皇成,2:03.2,1.1/4,9-10-10-10,34.3,4.1,1.0,430(-4),[東]小島茂之,Ｇ１レーシング,200.0,1,201706040307
3,5,9,ムスターヴェルク,牝3,54.0,戸崎圭太,2:03.3,1/2,7-6-4-4,34.9,5.0,2.0,476(+12),[東]加藤征弘,キャロットファーム,130.0,1,201706040307
4,3,6,ホウオウジャンプ,牡3,56.0,大野拓弥,2:03.4,3/4,4-6-7-6,34.8,9.2,5.0,510(+6),[東]池上昌和,小笹芳央,75.0,0,201706040307
5,8,17,エナホープ,牝3,54.0,勝浦正樹,2:03.4,ハナ,2-2-2-1,35.2,8.3,3.0,492(0),[東]松永康利,宮原廣伸,50.0,0,201706040307
6,2,4,イムノス,牡3,53.0,野中悠太,2:03.5,クビ,9-8-9-8,34.8,13.8,6.0,396(-4),[東]尾関知人,サンデーレーシング,,0,201706040307
7,2,3,メイプルストロング,牡3,53.0,横山武史,2:03.5,ハナ,16-16-16-14,34.1,25.9,12.0,500(-4),[東]高市圭二,節英司,,0,201706040307
8,1,1,ピンクスパイダー,牡3,56.0,吉田豊,2:03.7,1.1/2,16-16-18-16,34.0,18.9,10.0,434(+8),[東]和田雄二,ＨｉｍＲｏｃｋＲａｃｉｎｇ,,0,201706040307
9,7,15,エスポワールママン,牝3,54.0,江田照男,2:03.7,クビ,13-13-10-10,34.8,16.1,8.0,450(+8),[東]高木登,吉見典子,,0,201706040307
10,7,14,リバーサルフィルム,牡3,56.0,内田博幸,2:03.7,ハナ,16-16-14-14,34.5,15.1,7.0,488(-8),[東]加藤征弘,シルクレーシング,,0,201706040307
11,5,10,パラディラタン,牝3,51.0,菊沢一樹,2:03.7,ハナ,4-4-6-6,35.2,36.8,13.0,434(+6),[東]加藤和宏,堀祥子,,0,201706040307
12,1,2,メイショウユーコン,牝3,54.0,蛯名正義,2:04.0,1.1/2,12-12-13-13,34.9,50.1,14.0,436(-10),[東]小島太,松本好雄,,0,201706040307
13,8,18,ベルウッドミライ,牡3,56.0,松岡正海,2:04.0,ハナ,9-10-10-10,35.1,21.3,11.0,468(+4),[東]二ノ宮敬,鈴木照雄,,0,201706040307
14,8,16,スカイノーヴァ,牝3,54.0,北村宏司,2:04.1,1/2,7-8-7-8,35.5,127.9,15.0,432(-4),[東]藤沢和雄,シルクレーシング,,0,201706040307
15,4,7,ミニマルプラン,牝3,54.0,丸田恭介,2:04.1,クビ,14-14-16-16,34.8,182.7,16.0,416(+2),[東]宗像義忠,薗部博之,,0,201706040307
16,7,13,プリンセスアイリス,牝3,53.0,井上敏樹,2:04.3,1.1/4,1-1-1-2,36.2,399.5,18.0,464(+14),[東]和田正一,山内晃,,0,201706040307
17,6,11,オーランガバード,牡3,56.0,石橋脩,2:04.4,3/4,2-3-2-2,36.2,8.3,4.0,462(0),[東]堀宣行,Ｇ１レーシング,,0,201706040307
18,6,12,アンヌヴン,牝3,54.0,的場勇人,2:05.0,3.1/2,14-14-14-18,35.8,235.0,17.0,480(+12),[東]高木登,一村哲也,,0,201706040307
1,5,6,ゲッカコウ,牝4,55.0,丹内祐次,2:01.4,,1-1-1-1,34.2,11.8,5.0,474(+12),[東]高橋義博,サラブレッドクラブ・ラフィアン,"1,848.0",1,201706040311
2,3,3,スズカビスタ,牡6,57.0,田辺裕信,2:01.7,2,2-2-2-2,34.3,18.9,6.0,462(+6),[西]谷潔,永井啓弍,738.0,1,201706040311
3,1,1,ショウナンマルシェ,セ6,57.0,三浦皇成,2:01.7,クビ,3-3-5-5,33.9,9.0,4.0,470(+4),[東]二ノ宮敬,国本哲秀,464.0,1,201706040311
4,7,10,ウインオリアート,牝6,55.0,松岡正海,2:01.7,アタマ,4-4-3-2,34.2,77.4,10.0,460(+2),[東]鹿戸雄一,ウイン,270.0,0,201706040311
5,4,5,プロフェット,牡4,57.0,内田博幸,2:02.0,1.1/2,8-7-8-7,34.0,5.0,2.0,464(+2),[西]池江泰寿,キャロットファーム,182.0,0,201706040311
6,4,4,テオドール,牡4,57.0,戸崎圭太,2:02.1,1/2,5-5-5-5,34.4,1.8,1.0,548(+10),[東]国枝栄,サンデーレーシング,,0,201706040311
7,7,11,ソールインパクト,牡5,57.0,大野拓弥,2:02.1,ハナ,5-6-3-4,34.6,6.8,3.0,488(-2),[東]戸田博文,窪田康志,,0,201706040311
8,8,13,ハツガツオ,牝6,55.0,北村宏司,2:02.4,1.3/4,11-12-9-9,34.2,100.9,12.0,508(+6),[東]石栗龍彦,江川伸夫,,0,201706040311
9,6,9,カレンリスベット,牝6,55.0,津村明秀,2:02.4,クビ,7-7-7-7,34.5,41.7,9.0,502(+8),[東]国枝栄,鈴木隆司,,0,201706040311
10,6,8,マイネルラフレシア,牡4,57.0,柴田大知,2:02.4,ハナ,13-12-9-9,34.3,31.1,7.0,460(+6),[東]高橋裕,サラブレッドクラブ・ラフィアン,,0,201706040311
11,2,2,ワトソンクリック,牡5,57.0,武士沢友,2:02.5,1/2,9-9-9-9,34.4,185.9,13.0,508(-4),[東]小桧山悟,本杉芳郎,,0,201706040311
12,5,7,ワールドレーヴ,牡7,57.0,蛯名正義,2:02.9,2.1/2,11-11-13-12,34.5,34.0,8.0,468(-4),[東]二ノ宮敬,嶋田賢,,0,201706040311
13,8,12,ウインブルーローズ,牡5,57.0,吉田隼人,2:03.0,1/2,9-9-9-12,34.8,100.5,11.0,490(+4),[東]高橋祥泰,ウイン,,0,201706040311
1,6,6,ランリーナ,牝2,54.0,吉田豊,2:02.8,,5-5-6-6,35.3,7.8,4.0,450(+8),[東]竹内正洋,由井健太郎,500.0,1,201706040202
2,4,4,ミレフォリウム,牝2,54.0,津村明秀,2:03.0,1.1/4,8-8-2-2,35.9,1.9,1.0,468(-4),[東]中舘英二,サンデーレーシング,200.0,1,201706040202
3,5,5,マイネルアーリー,牡2,54.0,柴田大知,2:03.1,3/4,6-6-1-1,36.1,6.4,3.0,492(-4),[東]高橋祥泰,サラブレッドクラブ・ラフィアン,130.0,1,201706040202
4,2,2,セイカメテオライト,牡2,54.0,吉田隼人,2:03.6,3,4-4-3-3,36.3,11.2,5.0,450(-2),[東]相沢郁,久米大,75.0,0,201706040202
5,8,8,ファイアプルーフ,牡2,51.0,藤田菜七,2:03.6,クビ,2-2-3-3,36.3,4.7,2.0,488(+2),[東]根本康広,犬塚悠治郎,50.0,0,201706040202
6,7,7,ニシノムソウ,牡2,54.0,丸田恭介,2:03.7,1/2,1-1-3-3,36.4,54.4,8.0,470(-10),[東]蛯名利弘,西山茂行,,0,201706040202
7,1,1,ルビーロマン,牡2,54.0,勝浦正樹,2:03.8,クビ,7-7-8-8,36.0,53.8,7.0,482(-2),[東]蛯名利弘,畑佐博,,0,201706040202
8,3,3,カミノコ,牡2,54.0,松若風馬,2:03.9,3/4,3-3-6-7,36.3,15.8,6.0,444(+2),[西]森秀行,門野重雄,,0,201706040202
1,7,7,バレリオ,牡2,54.0,津村明秀,2:05.5,,8-8-4-2,33.7,3.7,1.0,468(0),[東]相沢郁,サンデーレーシング,700.0,1,201706040105
2,6,6,ニシノマメフク,牝2,54.0,田辺裕信,2:05.7,1.1/4,1-1-1-1,34.1,5.5,4.0,474(0),[東]中舘英二,西山茂行,280.0,1,201706040105
3,4,4,ハービーナ,牝2,54.0,吉田隼人,2:05.8,1/2,5-5-4-5,33.9,5.2,3.0,442(0),[東]中川公成,多田賢司,180.0,1,201706040105
